,Time,OD,well,sample,species,carbon_source,concentration
0,0.4861111111111111,-0.012266666666666662,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
1,0.986111111111111,-0.009999999999999995,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
2,1.4861111111111112,-0.005933333333333318,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
3,1.9861111111111112,-0.006099999999999994,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
4,2.486111111111111,-0.007233333333333342,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
5,2.986111111111111,-0.006599999999999995,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
6,3.486111111111111,-0.006466666666666676,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
7,3.986111111111111,-0.006433333333333319,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
8,4.486111111111112,-0.006100000000000008,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
9,4.986111111111112,-0.0060666666666666785,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
10,5.486111111111112,-0.00576666666666667,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
11,5.986111111111112,-0.005333333333333343,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
12,6.486111111111112,-0.004799999999999999,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
13,6.986111111111112,-0.00470000000000001,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
14,7.486111111111112,-0.0033666666666666706,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
15,7.986111111111112,-0.0006000000000000172,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
16,8.48611111111111,-0.0007999999999999952,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
17,8.98611111111111,0.002066666666666661,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
18,9.48611111111111,0.004600000000000007,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
19,9.98611111111111,0.0074333333333333335,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
20,10.48611111111111,0.01076666666666666,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
21,10.98611111111111,0.013833333333333336,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
22,11.48611111111111,0.017299999999999996,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
23,11.98611111111111,0.019299999999999998,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
24,12.48611111111111,0.022466666666666663,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
25,12.98611111111111,0.027366666666666664,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
26,13.48611111111111,0.03266666666666668,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
27,13.98611111111111,0.03806666666666665,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
28,14.48611111111111,0.04439999999999998,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
29,14.98611111111111,0.0518,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
30,15.48611111111111,0.05323333333333334,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
31,15.98611111111111,0.06553333333333335,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
32,16.48611111111111,0.0734,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
33,16.98611111111111,0.07129999999999999,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
34,17.48611111111111,0.07596666666666668,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
35,17.98611111111111,0.07703333333333333,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
36,18.48611111111111,0.08040000000000001,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
37,18.98611111111111,0.08483333333333334,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
38,19.48611111111111,0.08419999999999998,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
39,19.98611111111111,0.08866666666666666,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
40,20.48611111111111,0.0999,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
41,20.98611111111111,0.1067,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
42,21.48611111111111,0.1134,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
43,21.98611111111111,0.11799999999999998,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
44,22.48611111111111,0.1199,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
45,22.98611111111111,0.13093333333333335,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
46,23.48611111111111,0.14133333333333334,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
47,23.98611111111111,0.14836666666666667,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
48,24.48611111111111,0.1596333333333333,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
49,24.98611111111111,0.17566666666666664,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
50,25.48611111111111,0.1755,A3,S1B1,Agrobacterium Tumefaciens,Acetate,45.0
